Exercicio, Tempo, Rating, Resultado
1, 0, 929, 1
2, 3, 942, 1
3, 2, 944, 1
4, 2, 955, 1
5, 3, 972, 1
6, 2, 976, 1
7, 1, 981, 1
8, 3, 1117, 1
9, 3, 1138, 1
10, 5, 1160, 1 
11, 5, 1161, 1
12, 3, 1171, 1
13, 3, 1182, 1
14, 2, 1187, 1
15, 4, 1277, 1
16, 6, 1300, 1
17, 4, 1308, 1
18, 6, 1312, 1
19, 3, 1313, 1
20, 4, 1318, 1
21, 5, 1323, 1
22, 4, 1338, 1
23, 3, 1412, 1
24, 4, 1415, 1
25, 2, 1419, 1
26, 2, 1427, 1
27, 2, 1435, 1
28, 3, 1448, 1
29, 8, 1454, 1
30, 5, 1468, 1
31, 8, 1470, 0
32, 7, 1552, 1
33, 4, 1561, 1
34, 6, 1563, 1
35, 4, 1569, 1
36, 5, 1575, 1
37, 9, 1579, 1
38, 5, 1584, 1
39, 5, 1586, 1
40, 4, 1589, 1
41, 4, 1609, 1
42, 3, 1694, 1
43, 8, 1695, 1
44, 8, 1701, 1
45, 12, 1702, 1
46, 17, 1716, 1
47, 7, 1726, 1
48, 7, 1727, 1
49, 8, 1730, 1
50, 4, 1733, 0
51, 9, 1739, 0

