Exercicio, Tempo, Rating, Resultado
1, 0, 915, 1
2, 3, 939, 1
3, 3, 945, 1
4, 4, 963, 1
5, 3, 967, 1
6, 2, 978, 1
7, 1, 998, 1
8, 3, 1120, 1
9, 2, 1132, 1
10, 3, 1151, 1
11, 5, 1157, 1
12, 2, 1158, 1
13, 3, 1175, 1
14, 6, 1193, 1
15, 6, 1286, 1
16, 5, 1287, 1
17, 2, 1303, 1
18, 2, 1305, 1
19, 9, 1325, 1
20, 3, 1330, 1
21, 2, 1331, 1
22, 5, 1333, 1
23, 12, 1418, 1
24, 22, 1422, 1
25, 5, 1427, 1
26, 13, 1431, 1
27, 6, 1432, 1
28, 6, 1453, 1
29, 7, 1474, 1
30, 4, 1478, 1
31, 2, 1478, 1
32, 6, 1553, 1
33, 6, 1559, 1
34, 2, 1560, 1
35, 8, 1565, 1
36, 8, 1574, 1
37, 34, 1582, 1
38, 2, 1599, 1
39, 8, 1599, 1
40, 4, 1608, 0
41, 9, 1614, 1
42, 3, 1697, 1
43, 3, 1701, 0
