Exercicio, Tempo, Rating, Resultado
1, 0, 1002, 1
2, 4, 1046, 1
3, 4, 1046, 1
4, 3, 1069, 1
5, 3, 1075, 1
6, 5, 1089, 1
7, 7, 1089, 1
8, 9, 1133, 1
9, 3, 1143, 1
10, 3, 1146, 1
11, 4, 1149, 1
12, 2, 1149, 1
13, 10, 1158, 1
14, 5, 1165, 1
15, 6, 1286, 1
16, 4, 1292, 1
17, 4, 1295, 1
18, 3, 1299, 1
19, 4, 1325, 1
20, 7, 1327, 1
21, 3, 1331, 0
22, 3, 1332, 1
23, 3, 1411, 1
24, 3, 1418, 1
25, 5, 1419, 1
26, 6, 1432, 1
27, 3, 1437, 1
28, 3, 1449, 1
29, 7, 1449, 1
30, 4, 1460, 1
31, 4, 1472, 1
32, 21, 1556, 1
33, 5, 1575, 1
34, 18, 1576, 1
35, 5, 1584, 1
36, 4, 1588, 1
37, 3, 1589, 1
38, 7, 1598, 0
39, 12, 1605, 1
40, 6, 1615, 1
41, 3, 1628, 1
42, 5, 1695, 0

