Exercicio, Tempo, Rating, Resultado
1, 0, 905, 1
2, 2, 919, 1
3, 3, 921, 1
4, 4, 943, 1
5, 2, 966, 1
6, 3, 969, 1
7, 2, 981, 1
8, 3, 1100, 0
9, 2, 1137, 1
10, 3, 1149, 1
11, 11, 1169, 1
12, 2, 1180, 1
13, 3, 1191, 1
14, 3, 1192, 1
15, 4, 1273, 1
16, 4, 1283, 1
17, 11, 1284, 1
18, 6, 1290, 1
19, 3, 1293, 1
20, 7, 1298, 1
21, 8, 1306, 1
22, 8, 1320, 1
23, 7, 1391, 1
24, 10, 1410, 1
25, 6, 1447, 1
26, 3, 1447, 1
27, 3, 1454, 1
28, 4, 1458, 1
29, 3, 1467, 1
30, 4, 1468, 1
31, 4, 1469, 1
32, 6, 1568, 1
33, 5, 1568, 1
34, 2, 1568, 1
35, 5, 1572, 1
36, 4, 1578, 1
37, 8, 1581, 1
38, 10, 1595, 1
39, 11, 1610, 1
40, 6, 1614, 1
41, 5, 1616, 1
42, 20, 1700, 0
43, 11, 1711, 1
44, 1, 1716, 0
