Exercicio, Tempo, Rating, Resultado
1, 0, 1047, 1
2, 2, 1050, 1
3, 3, 1052, 1
4, 4, 1067, 1
5, 2, 1075, 1
6, 2, 1086, 1
7, 2, 1095, 1
8, 2, 1137, 1
9, 7, 1143, 1
10, 3, 1145, 1
11, 2, 1162, 1
12, 3, 1186, 1
13, 5, 1195, 1
14, 3, 1196, 1
15, 3, 1275, 1
16, 6, 1294, 1
17, 9, 1310, 0
18, 16, 1314, 1
19, 6, 1316, 1
20, 7, 1317, 1
21, 3, 1317, 1
22, 5, 1333, 1
23, 5, 1410, 1
24, 2, 1422, 1
25, 2, 1430, 0
26, 6, 1447, 1
27, 7, 1450, 1
28, 18, 1457, 1
29, 4, 1460, 1
30, 6, 1473, 1
31, 4, 1473, 1
32, 7, 1553, 1
33, 2, 1554, 0
34, 6, 1569, 1
35, 9, 1572, 1
36, 11, 1572, 1
37, 7, 1576, 0
