Exercicio, Tempo, Rating, Resultado
1, 0, 920, 1
2, 2, 933, 1
3, 1, 963, 1
4, 2, 964, 1
5, 5, 966, 1
6, 3, 982, 1
7, 3, 990, 1
8, 3, 1105, 1
9, 5, 1121, 1
10, 5, 1163, 1
11, 2, 1170, 1
12, 3, 1174, 1
13, 2, 1176, 1
14, 2, 1194, 1
15, 2, 1277, 1
16, 6, 1278, 1
17, 4, 1286, 1
18, 7, 1297, 1
19, 4, 1308, 1
20, 13, 1314, 1
21, 6, 1332, 1
22, 4, 1334, 1
23, 6, 1415, 1
24, 4, 1416, 0
25, 3, 1423, 1
26, 4, 1431, 1
27, 5, 1431, 1
28, 10, 1435, 1
29, 3, 1438, 1
30, 2, 1442, 1
31, 10, 1469, 0
32, 2, 1553, 0
33, 4, 1557, 1
34, 5, 1572, 0
35, 6, 1575, 1
36, 11, 1578, 1
37, 7, 1585, 1
38, 18, 1591, 1
39, 3, 1593, 1
40, 3, 1617, 1
41, 5, 1618, 1
42, 4, 1694, 1
43, 1, 1718, 0



