Exercicio, Tempo, Rating, Resultado
1, 0, 1027, 1
2, 2, 1036, 1
3, 3, 1063, 1
4, 2, 1075, 1
5, 17, 1075, 1
6, 2, 1079, 1
7, 3, 1091, 1
8, 4, 1134, 1
9, 3, 1138, 1
10, 3, 1140, 1
11, 5, 1155, 1
12, 7, 1162, 1
13, 2, 1166, 1
14, 2, 1169, 1
15, 16, 1272, 1
16, 6, 1279, 1
17, 3, 1283, 1
18, 3, 1292, 1
19, 7, 1295, 1
20, 3, 1310, 1
21, 5, 1314, 1
22, 24, 1349, 1
23, 8, 1435, 1
24, 3, 1439, 1
25, 9, 1440, 1
26, 3, 1445, 1
27, 32, 1450, 1
28, 3, 1451, 1
29, 9, 1471, 1
30, 4, 1471, 1
31, 7, 1476, 1
32, 5, 1558, 1
33, 8, 1561, 1
34, 15, 1575, 1
35, 2, 1579, 0
36, 5, 1579, 1
37, 0, 1603, 0

