Exercicio, Tempo, Rating, Resultado
1, 0, 1008, 1
2, 2, 1043, 1
3, 3, 1044, 1
4, 1, 1061, 1
5, 3, 1071, 1
6, 2, 1092, 1
7, 4, 1098, 1
8, 2, 1118, 1
9, 6, 1159, 1
10, 9, 1171, 0
11, 5, 1176, 1 
12, 3, 1179, 1
13, 3, 1186, 1
14, 3, 1189, 1
15, 3, 1282, 1
16, 4, 1284, 1
17, 5, 1298, 1
18, 4, 1308, 1
19, 11, 1315, 1
20, 2, 1317, 1
21, 3, 1325, 1
22, 4, 1335, 1
23, 3, 1414, 1
24, 4, 1427, 1
25, 8, 1429, 1
26, 3, 1434, 1
27, 8, 1435, 1
28, 5, 1440, 1
29, 15, 1457, 1
30, 4, 1458, 1
31, 15, 1464, 1 
32, 4, 1571, 1
33, 2, 1576, 1
34, 6, 1579, 1
35, 3, 1579, 1
36, 6, 1586, 1
37, 10, 1590, 1
38, 4, 1592, 1
39, 10, 1593, 1
40, 10, 1610, 1
41, 12, 1618, 1
42, 4, 1690, 1
43, 11, 1698, 1
44, 3, 1708, 1
45, 10, 1713, 1
46, 1, 1720, 0
